Name,Team,Wk17,Pos,Pos Rk,Rank,ADP,Rookie,+/-,id,ADP Mod,HPPR,Rank,PG,Rank,Gm,PaATT,Comp,PaYD,PaTD,INT,Car,RuYD,RuTD,Tar,Rec,ReYD,ReTD,Att%,Comp%,YPA,TD%,INT%,Car%,YPC,TD%,Tar%,Comp%,YPT,TD%
DJ Giddens,FA,,RB,RB58,188,198,Rookie,10,0d2598f2-8c30-4d9b-8e1a-be92e18f58d6,0.29,51.41,28,4.0,31,13.0,0,0,0,0,0,52,244,2,11,7,79,1,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,4.7,3.9%,100.0%,62.5%,6.9,5.0%
Jordan James,FA,,RB,RB67,215,231.7,Rookie,16.7,6332e4fb-ae3c-4c71-8ad6-b8b4891d4da1,0.22,39.26,38,3.9,32,10.0,0,0,0,0,0,39,186,2,9,5,60,0,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,4.7,3.9%,100.0%,62.5%,6.9,5.0%
RJ Harvey,FA,,RB,RB54,180,200.5,Rookie,20.5,2aee5be9-da00-4310-9a4f-b653318ecc24,0.28,50.39,32,3.9,33,13.0,0,0,0,0,0,51,239,2,11,7,77,1,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,4.7,3.9%,100.0%,62.5%,6.9,5.0%
Tyler Warren,FA,,TE,TE8,95,101.1,Rookie,6.1,db9ebcd6-37c0-4541-b196-6dc5229b77f5,0.74,60.65,25,3.8,34,16.0,0,0,0,0,0,1,7,0,33,26,335,2,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,5.0,0.0%,100.0%,77.8%,10.0,6.7%
Trevor Etienne,FA,,RB,RB74,232,236.4,Rookie,4.4,f28c0797-90fc-4de6-8ce9-63c41de9c45b,0.21,37.81,39,3.8,35,10.0,0,0,0,0,0,38,180,1,8,5,58,0,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,4.7,3.9%,100.0%,62.5%,6.9,5.0%
Kalel Mullings,FA,,RB,RB63,207,236.8,Rookie,29.8,772b30ac-426e-445c-aeca-b0cfdd5601cb,0.21,37.69,40,3.8,36,10.0,0,0,0,0,0,38,179,1,8,5,58,0,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,4.7,3.9%,100.0%,62.5%,6.9,5.0%
Bhayshul Tuten,FA,,RB,RB75,233,236.9,Rookie,3.9,969daecb-eacd-4590-8b20-fd5682627f7d,0.21,37.66,41,3.8,37,10.0,0,0,0,0,0,38,179,1,8,5,58,0,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,4.7,3.9%,100.0%,62.5%,6.9,5.0%
Rahiem Sanders,FA,,RB,RB64,209,238.9,Rookie,29.9,5ddab591-f590-449e-95be-bbb9e201dc7b,0.21,37.06,42,3.7,38,10.0,0,0,0,0,0,37,176,1,8,5,57,0,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,4.7,3.9%,100.0%,62.5%,6.9,5.0%
Kyle Monangai,FA,,RB,RB81,244,239.4,Rookie,-4.6,1b60cd29-2a8b-4937-b9c1-d5eb778f428d,0.21,36.92,43,3.7,39,10.0,0,0,0,0,0,37,175,1,8,5,57,0,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,4.7,3.9%,100.0%,62.5%,6.9,5.0%
Damien Martinez,FA,,RB,RB61,205,217.4,Rookie,12.4,46a140dc-52d0-4533-b640-180836f05f56,0.25,44.02,35,3.4,40,13.0,0,0,0,0,0,44,209,2,10,6,68,0,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,4.7,3.9%,100.0%,62.5%,6.9,5.0%
Brashard Smith,FA,,RB,RB59,203,222.4,Rookie,19.4,25711927-5878-48b0-92fd-61e2b2bd5266,0.24,42.29,36,3.3,41,13.0,0,0,0,0,0,43,201,2,9,6,65,0,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,4.7,3.9%,100.0%,62.5%,6.9,5.0%
LeQuint Allen Jr.,FA,,RB,RB62,206,229.2,Rookie,23.2,a16c6edd-e99a-4622-b40a-df98f4b90059,0.22,40.06,37,3.1,42,13.0,0,0,0,0,0,40,190,2,9,6,62,0,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,4.7,3.9%,100.0%,62.5%,6.9,5.0%
Colston Loveland,FA,,TE,TE13,132,145.1,Rookie,13.1,f926f55d-f9bc-4023-b40d-4f6676dff716,0.57,46.07,34,2.9,43,16.0,0,0,0,0,0,1,6,0,25,20,254,2,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,5.0,0.0%,100.0%,77.8%,10.0,6.7%
Harold Fannin Jr.,FA,,TE,TE22,177,188.3,Rookie,11.3,671b5fc8-35e6-40fc-a04e-fdae1079d532,0.43,35.17,44,2.7,44,13.0,0,0,0,0,0,1,4,0,19,15,194,1,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,5.0,0.0%,100.0%,77.8%,10.0,6.7%
Gunnar Helm,FA,,TE,TE36,246,238.3,Rookie,-7.7,d6f71a88-60fb-47a0-8572-d1f9c66cd6bc,0.32,25.73,47,2.6,45,10.0,0,0,0,0,0,1,3,0,14,11,142,1,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,5.0,0.0%,100.0%,77.8%,10.0,6.7%
Elijah Arroyo,FA,,TE,TE29,202,225.5,Rookie,23.5,63b14120-1d8e-48c2-b6b0-3f12c49990aa,0.34,27.87,45,2.1,46,13.0,0,0,0,0,0,1,3,0,15,12,154,1,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,5.0,0.0%,100.0%,77.8%,10.0,6.7%
Mason Taylor,FA,,TE,TE27,199,231.5,Rookie,32.5,4b1309a5-25c2-49f5-90c0-3737b5f869c4,0.33,26.85,46,2.1,47,13.0,0,0,0,0,0,1,3,0,15,12,148,1,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,5.0,0.0%,100.0%,77.8%,10.0,6.7%
